Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
EPZ5676,OC1C(CN(C2CC(C2)CCc2nc3c([nH]2)cc(cc3)C(C)(C)C)C(C)C)OC(C1O)n1cnc2c1ncnc2N,C30H42N8O3,562.71,41,18,0.6,9,8,4,158.97,151.23,3.54,4.32,3.01,0.92,2.24,2.81,-5.78,9.31E-04,1.65E-06,Moderately soluble,-7.21,3.47E-05,6.17E-08,Poorly soluble,-5.77,9.58E-04,1.70E-06,Moderately soluble,Low,No,No,No,No,No,No,Yes,-6.67,2,3,1,1,1,0.17,0,0,3,5.9
SCH772984,O=C(N1CCN(CC1)c1ccc(cc1)c1ncccn1)CN1CCC(C1)C(=O)Nc1ccc2c(c1)c(n[nH]2)c1ccncc1,C33H33N9O2,587.67,44,27,0.27,9,7,2,179.38,123.24,2.62,2.52,2.36,1.2,3.14,2.37,-4.93,6.88E-03,1.17E-05,Moderately soluble,-4.75,1.03E-02,1.76E-05,Moderately soluble,-9.41,2.29E-07,3.90E-10,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-8.1,2,3,0,0,0,0.17,0,0,2,4.38
IWP-2,O=C(Nc1nc2c(s1)cc(cc2)C)CSc1nc2CCSc2c(=O)n1c1ccccc1,C22H18N4O2S3,466.6,31,21,0.18,6,4,1,128.11,155.72,3.12,4.78,4.34,3.65,5.28,4.24,-5.85,6.60E-04,1.41E-06,Moderately soluble,-7.78,7.72E-06,1.65E-08,Poorly soluble,-7.76,8.03E-06,1.72E-08,Poorly soluble,Low,No,No,No,Yes,Yes,No,Yes,-5.75,0,0,1,1,1,0.55,0,0,2,3.71
Leflunomide,O=C(c1cnoc1C)Nc1ccc(cc1)C(F)(F)F,C12H9F3N2O2,270.21,19,11,0.17,4,6,1,60.69,55.13,2.33,2.49,4.22,2.14,2.97,2.83,-3.25,1.53E-01,5.64E-04,Soluble,-3.29,1.38E-01,5.10E-04,Soluble,-5.03,2.52E-03,9.33E-06,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.18,0,0,0,0,0,0.55,0,0,0,2.45
GSK2801,CCCOc1ccn2c(c1)c(cc2C(=O)C)c1ccccc1S(=O)(=O)C,C20H21NO4S,371.45,26,15,0.25,6,4,0,102.23,73.23,3.27,4.24,5.08,2.14,3.52,3.65,-4.85,5.31E-03,1.43E-05,Moderately soluble,-5.49,1.21E-03,3.24E-06,Moderately soluble,-6.51,1.16E-04,3.12E-07,Poorly soluble,High,No,No,Yes,Yes,Yes,No,Yes,-5.56,0,0,0,0,0,0.55,0,0,2,3.03
Bromosporine,CCOC(=O)Nc1cc(nn2c1nnc2C)c1ccc(c(c1)NS(=O)(=O)C)C,C17H20N6O4S,404.44,28,15,0.29,7,7,2,105.01,135.96,2.75,1.08,3.05,1.01,0.45,1.67,-2.96,4.41E-01,1.09E-03,Soluble,-3.53,1.20E-01,2.97E-04,Soluble,-5.45,1.44E-03,3.56E-06,Moderately soluble,Low,No,Yes,No,No,No,No,Yes,-8,0,0,0,1,0,0.55,0,0,1,3.45
SGC-CBP30,COc1ccc(cc1Cl)CCc1nc2c(n1CC(N1CCOCC1)C)ccc(c2)c1c(C)noc1C,C28H33ClN4O3,509.04,36,20,0.43,8,6,0,146.81,65.55,4.73,5.19,5.1,3.12,6.21,4.87,-6.15,3.61E-04,7.10E-07,Poorly soluble,-6.31,2.47E-04,4.86E-07,Poorly soluble,-9.13,3.81E-07,7.48E-10,Poorly soluble,High,Yes,Yes,No,No,Yes,Yes,Yes,-5.72,1,2,0,0,1,0.55,0,0,3,4.59
GSK-LSD1,N1CCC(CC1)NC1CC1c1ccccc1,C14H20N2,216.32,16,6,0.57,3,2,2,70.35,24.06,2.67,1.87,1.5,2.28,2.48,2.16,-2.44,7.88E-01,3.64E-03,Soluble,-2,2.18E+00,1.01E-02,Very soluble,-4.03,2.00E-02,9.25E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.29,0,0,0,0,0,0.55,0,0,1,2.33
Entinostat,O=C(OCc1cccnc1)NCc1ccc(cc1)C(=O)Nc1ccccc1N,C21H20N4O3,376.41,28,18,0.1,9,4,3,106.4,106.34,2.04,2.02,2.86,1.57,2.35,2.17,-3.33,1.77E-01,4.70E-04,Soluble,-3.88,4.96E-02,1.32E-04,Soluble,-7.19,2.42E-05,6.43E-08,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-7.16,0,0,0,0,0,0.55,0,1,2,2.67
OSI-027,COc1cccc2c1[nH]c(c2)c1nc(n2c1c(N)ncn2)C1CCC(CC1)C(=O)O,C21H22N6O3,406.44,30,18,0.33,4,6,3,112.44,131.42,2.75,2.03,3.23,1.35,1.79,2.23,-3.82,6.17E-02,1.52E-04,Soluble,-4.42,1.55E-02,3.82E-05,Moderately soluble,-5.01,3.98E-03,9.79E-06,Moderately soluble,High,No,Yes,Yes,No,No,No,No,-7.34,0,0,0,0,0,0.56,0,0,1,4.35
LGK974,O=C(Nc1ccc(cn1)c1cnccn1)Cc1cnc(c(c1)C)c1ccnc(c1)C,C23H20N6O,396.44,30,24,0.13,6,6,1,115.02,93.55,2.71,1.77,3.6,0.51,4.34,2.59,-3.61,9.75E-02,2.46E-04,Soluble,-3.35,1.76E-01,4.44E-04,Soluble,-9.19,2.55E-07,6.44E-10,Poorly soluble,High,No,Yes,Yes,No,Yes,Yes,Yes,-7.46,0,0,0,0,0,0.55,0,0,1,3.27
VE-822,CNCc1ccc(cc1)c1noc(c1)c1nc(cnc1N)c1ccc(cc1)S(=O)(=O)C(C)C,C24H25N5O3S,463.55,33,23,0.21,7,7,2,128.09,132.38,3.51,2.31,4.89,1.38,3.66,3.15,-4.22,2.77E-02,5.98E-05,Moderately soluble,-4.73,8.67E-03,1.87E-05,Moderately soluble,-9.14,3.37E-07,7.26E-10,Poorly soluble,Low,No,Yes,No,Yes,Yes,No,Yes,-7.49,0,0,0,1,0,0.55,0,0,1,4.04
WZ4003,CCC(=O)Nc1cccc(c1)Oc1nc(ncc1Cl)Nc1ccc(cc1OC)N1CCN(CC1)C,C25H29ClN6O3,496.99,35,18,0.32,9,6,2,144.97,91.85,4.35,4.12,3.82,2.47,2.96,3.54,-5.3,2.47E-03,4.97E-06,Moderately soluble,-5.76,8.73E-04,1.76E-06,Moderately soluble,-8.01,4.87E-06,9.79E-09,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.41,0,2,0,0,0,0.55,0,0,3,3.87
CZC24832,Nc1nn2c(n1)c(F)cc(c2)c1cncc(c1)S(=O)(=O)NC(C)(C)C,C15H17FN6O2S,364.4,25,15,0.27,4,7,2,90.94,123.65,1.88,1.01,3.1,1.32,0.35,1.53,-2.92,4.43E-01,1.21E-03,Soluble,-3.2,2.32E-01,6.37E-04,Soluble,-4.92,4.42E-03,1.21E-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.81,0,0,0,0,0,0.55,0,0,1,3.24
AZD5582,CNC(C(=O)NC(C(=O)N1CCCC1C(=O)NC1C(OCC#CC#CCOC2Cc3c(C2NC(=O)C2CCCN2C(=O)C(C2CCCCC2)NC(=O)C(NC)C)cccc3)Cc2c1cccc2)C1CCCCC1)C,C58H78N8O8,1015.29,74,12,0.62,24,10,6,289.97,199.54,5.32,5.88,2.67,1.04,5.89,4.16,-8.38,4.28E-06,4.22E-09,Poorly soluble,-9.84,1.46E-07,1.43E-10,Poorly soluble,-10.19,6.63E-08,6.53E-11,Insoluble,Low,No,Yes,No,No,No,No,Yes,-8.32,3,3,2,1,6,0.17,0,1,3,8.99
GSK2606414,O=C(N1CCc2c1ccc(c2)c1cn(c2c1c(N)ncn2)C)Cc1cccc(c1)C(F)(F)F,C24H20F3N5O,451.44,33,21,0.21,5,6,1,123.12,77.04,3.52,3.77,5.15,3.11,4.17,3.94,-5.15,3.16E-03,7.00E-06,Moderately soluble,-5.08,3.74E-03,8.30E-06,Moderately soluble,-7.78,7.54E-06,1.67E-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.38,0,0,0,0,0,0.55,0,0,2,3.18
PFI3,O=C(c1ccccc1O)C=CN1CC2CC1CN2c1ccccn1,C19H19N3O2,321.37,24,12,0.26,4,3,1,99.26,56.67,2.54,3.29,1.69,1.46,1.8,2.16,-4.01,3.13E-02,9.75E-05,Moderately soluble,-4.16,2.25E-02,6.99E-05,Moderately soluble,-3.58,8.53E-02,2.65E-04,Soluble,High,Yes,No,Yes,No,Yes,Yes,No,-5.92,0,0,0,0,0,0.55,0,1,0,4.33
PCI-34051,ONC(=O)c1ccc2c(c1)n(cc2)Cc1ccc(cc1)OC,C17H16N2O3,296.32,22,15,0.12,5,3,2,83.1,63.49,2.05,2.35,2.82,2,2.04,2.25,-3.33,1.38E-01,4.65E-04,Soluble,-3.32,1.41E-01,4.75E-04,Soluble,-4.92,3.53E-03,1.19E-05,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,No,-6.44,0,0,0,0,0,0.55,0,2,0,2.1
Wnt-C59,O=C(Nc1ccc(cc1)c1cccnc1)Cc1ccc(cc1)c1ccnc(c1)C,C25H21N3O,379.45,29,24,0.08,6,3,1,116.67,54.88,3.08,4.21,5.11,2.96,5.53,4.18,-5.06,3.29E-03,8.68E-06,Moderately soluble,-5.07,3.21E-03,8.46E-06,Moderately soluble,-9.93,4.42E-08,1.16E-10,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-5.63,0,0,0,0,0,0.55,0,0,2,2.64
I-BET-762,CCNC(=O)CC1N=C(c2ccc(cc2)Cl)c2c(n3c1nnc3C)ccc(c2)OC,C22H22ClN5O2,423.9,30,17,0.27,6,5,1,119.37,81.4,3.18,2.85,2.95,2.44,4.2,3.12,-4.29,2.19E-02,5.16E-05,Moderately soluble,-4.22,2.57E-02,6.05E-05,Moderately soluble,-7.65,9.40E-06,2.22E-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.86,0,0,0,0,0,0.55,0,0,1,4.29
